label,generator,file,has_exif,num_fields,Make,Model,Software,DateTime,GPSInfo
real,ADM,ILSVRC2012_val_00020891.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00049896.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00002108.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00000112.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00006336.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00018062.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00039068.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00003846.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00015097.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00008988.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00001067.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00047946.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00015226.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00008122.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00022175.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00003449.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00012840.JPEG,True,54,NIKON CORPORATION,NIKON D300,Adobe Photoshop CS3 Macintosh,2008:12:23 14:29:43,
real,ADM,ILSVRC2012_val_00039882.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00036006.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00024515.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00040521.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00002614.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00049964.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00032887.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00003080.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00032078.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00049457.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00032485.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00021596.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00030589.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00015591.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00038080.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00044323.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00012902.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00048823.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00015385.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00018389.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00012437.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00031306.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00020794.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00002482.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00004536.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00020734.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00032934.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00000339.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00026416.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00014609.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00041094.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00049164.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00009217.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00040972.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00034669.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00048382.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00035952.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00013719.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00016917.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00010610.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00046213.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00029419.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00038215.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00026372.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00022442.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00006278.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00003502.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00043637.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00014833.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00026005.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00042467.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00009932.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00020264.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00029158.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00036354.JPEG,False,0,,,,,
real,ADM,ILSVRC2012_val_00022310.JPEG,False,0,,,,,
